 format: day,hour,forecast,value  location:53_124 Start : 20260706 
 6,0200,+6,85.000000 
 6,0200,+7,85.000000 
 6,0200,+8,85.000000 
 6,0200,+9,90.000000 
 6,0200,+10,90.000000 
 6,0200,+11,90.000000 
 6,0200,+12,90.000000 
 6,0200,+13,90.000000 
 6,0200,+14,95.000000 
 6,0200,+15,95.000000 
 6,0200,+16,95.000000 
 6,0200,+17,95.000000 
 6,0200,+18,95.000000 
 6,0200,+19,95.000000 
 6,0200,+20,95.000000 
 6,0200,+21,95.000000 
 6,0200,+22,90.000000 
 6,0200,+23,90.000000 
 6,0200,+24,85.000000 
 6,0200,+25,85.000000 
 6,0200,+26,85.000000 
 6,0200,+27,85.000000 
 6,0200,+28,80.000000 
 6,0200,+29,80.000000 
 6,0200,+30,80.000000 
 6,0200,+31,85.000000 
 6,0200,+32,85.000000 
 6,0200,+33,90.000000 
 6,0200,+34,90.000000 
 6,0200,+35,90.000000 
 6,0200,+36,90.000000 
 6,0200,+37,90.000000 
 6,0200,+38,90.000000 
 6,0200,+39,85.000000 
 6,0200,+40,85.000000 
 6,0200,+41,85.000000 
 6,0200,+42,85.000000 
 6,0200,+43,85.000000 
 6,0200,+44,85.000000 
 6,0200,+45,85.000000 
 6,0200,+46,85.000000 
 6,0200,+47,85.000000 
 6,0200,+48,90.000000 
 6,0200,+49,90.000000 
 6,0200,+50,85.000000 
 6,0200,+51,90.000000 
 6,0200,+52,90.000000 
 6,0200,+53,90.000000 
 6,0200,+54,90.000000 
 6,0200,+55,90.000000 
 6,0200,+56,90.000000 
 6,0200,+57,90.000000 
 6,0200,+58,90.000000 
 6,0200,+59,95.000000 
 6,0200,+60,95.000000 
 6,0200,+61,95.000000 
 6,0200,+64,95.000000 
 6,0200,+67,95.000000 
 6,0200,+70,95.000000 
 6,0200,+73,85.000000 
 6,0200,+76,85.000000 
 6,0200,+79,85.000000 
 6,0200,+82,90.000000 
 6,0200,+85,95.000000 
 6,0500,+6,90.000000 
 6,0500,+7,90.000000 
 6,0500,+8,90.000000 
 6,0500,+9,90.000000 
 6,0500,+10,90.000000 
 6,0500,+11,95.000000 
 6,0500,+12,95.000000 
 6,0500,+13,95.000000 
 6,0500,+14,95.000000 
 6,0500,+15,95.000000 
 6,0500,+16,95.000000 
 6,0500,+17,95.000000 
 6,0500,+18,95.000000 
 6,0500,+19,90.000000 
 6,0500,+20,90.000000 
 6,0500,+21,85.000000 
 6,0500,+22,85.000000 
 6,0500,+23,85.000000 
 6,0500,+24,85.000000 
 6,0500,+25,80.000000 
 6,0500,+26,80.000000 
 6,0500,+27,80.000000 
 6,0500,+28,85.000000 
 6,0500,+29,85.000000 
 6,0500,+30,90.000000 
 6,0500,+31,90.000000 
 6,0500,+32,90.000000 
 6,0500,+33,90.000000 
 6,0500,+34,90.000000 
 6,0500,+35,90.000000 
 6,0500,+36,85.000000 
 6,0500,+37,85.000000 
 6,0500,+38,85.000000 
 6,0500,+39,85.000000 
 6,0500,+40,85.000000 
 6,0500,+41,85.000000 
 6,0500,+42,85.000000 
 6,0500,+43,85.000000 
 6,0500,+44,85.000000 
 6,0500,+45,90.000000 
 6,0500,+46,90.000000 
 6,0500,+47,85.000000 
 6,0500,+48,90.000000 
 6,0500,+49,90.000000 
 6,0500,+50,90.000000 
 6,0500,+51,90.000000 
 6,0500,+52,90.000000 
 6,0500,+53,90.000000 
 6,0500,+54,90.000000 
 6,0500,+55,90.000000 
 6,0500,+56,95.000000 
 6,0500,+57,95.000000 
 6,0500,+58,95.000000 
 6,0500,+61,95.000000 
 6,0500,+64,95.000000 
 6,0500,+67,95.000000 
 6,0500,+70,85.000000 
 6,0500,+73,85.000000 
 6,0500,+76,85.000000 
 6,0500,+79,90.000000 
 6,0500,+82,95.000000 
 6,0800,+6,90.000000 
 6,0800,+7,95.000000 
 6,0800,+8,95.000000 
 6,0800,+9,95.000000 
 6,0800,+10,95.000000 
 6,0800,+11,95.000000 
 6,0800,+12,95.000000 
 6,0800,+13,95.000000 
 6,0800,+14,95.000000 
 6,0800,+15,95.000000 
 6,0800,+16,90.000000 
 6,0800,+17,90.000000 
 6,0800,+18,85.000000 
 6,0800,+19,85.000000 
 6,0800,+20,80.000000 
 6,0800,+21,80.000000 
 6,0800,+22,80.000000 
 6,0800,+23,80.000000 
 6,0800,+24,80.000000 
 6,0800,+25,80.000000 
 6,0800,+26,80.000000 
 6,0800,+27,85.000000 
 6,0800,+28,90.000000 
 6,0800,+29,85.000000 
 6,0800,+30,90.000000 
 6,0800,+31,90.000000 
 6,0800,+32,85.000000 
 6,0800,+33,85.000000 
 6,0800,+34,85.000000 
 6,0800,+35,85.000000 
 6,0800,+36,85.000000 
 6,0800,+37,85.000000 
 6,0800,+38,90.000000 
 6,0800,+39,85.000000 
 6,0800,+40,90.000000 
 6,0800,+41,90.000000 
 6,0800,+42,90.000000 
 6,0800,+43,90.000000 
 6,0800,+44,90.000000 
 6,0800,+45,90.000000 
 6,0800,+46,90.000000 
 6,0800,+47,90.000000 
 6,0800,+48,90.000000 
 6,0800,+49,90.000000 
 6,0800,+50,95.000000 
 6,0800,+51,95.000000 
 6,0800,+52,95.000000 
 6,0800,+53,95.000000 
 6,0800,+54,95.000000 
 6,0800,+55,95.000000 
 6,0800,+56,95.000000 
 6,0800,+57,95.000000 
 6,0800,+58,95.000000 
 6,0800,+59,95.000000 
 6,0800,+60,95.000000 
 6,0800,+61,95.000000 
 6,0800,+62,95.000000 
 6,0800,+63,95.000000 
 6,0800,+64,95.000000 
 6,0800,+65,95.000000 
 6,0800,+66,90.000000 
 6,0800,+67,90.000000 
 6,0800,+68,85.000000 
 6,0800,+69,90.000000 
 6,0800,+70,85.000000 
 6,0800,+71,85.000000 
 6,0800,+72,85.000000 
 6,0800,+73,85.000000 
 6,0800,+74,90.000000 
 6,0800,+75,90.000000 
 6,0800,+76,90.000000 
 6,0800,+77,90.000000 
 6,0800,+78,90.000000 
 6,0800,+79,90.000000 
 6,0800,+82,95.000000 
 6,0800,+85,95.000000 
 6,0800,+88,90.000000 
 6,0800,+91,85.000000 
 6,0800,+94,85.000000 
 6,0800,+97,85.000000 
 6,0800,+100,90.000000 
 6,0800,+103,95.000000 
 6,1100,+6,95.000000 
 6,1100,+7,95.000000 
 6,1100,+8,95.000000 
 6,1100,+9,95.000000 
 6,1100,+10,95.000000 
 6,1100,+11,95.000000 
 6,1100,+12,95.000000 
 6,1100,+13,90.000000 
 6,1100,+14,90.000000 
 6,1100,+15,85.000000 
 6,1100,+16,85.000000 
 6,1100,+17,80.000000 
 6,1100,+18,80.000000 
 6,1100,+19,80.000000 
 6,1100,+20,80.000000 
 6,1100,+21,80.000000 
 6,1100,+22,80.000000 
 6,1100,+23,80.000000 
 6,1100,+24,85.000000 
 6,1100,+25,90.000000 
 6,1100,+26,85.000000 
 6,1100,+27,90.000000 
 6,1100,+28,90.000000 
 6,1100,+29,85.000000 
 6,1100,+30,85.000000 
 6,1100,+31,85.000000 
 6,1100,+32,85.000000 
 6,1100,+33,85.000000 
 6,1100,+34,85.000000 
 6,1100,+35,90.000000 
 6,1100,+36,85.000000 
 6,1100,+37,90.000000 
 6,1100,+38,90.000000 
 6,1100,+39,90.000000 
 6,1100,+40,90.000000 
 6,1100,+41,90.000000 
 6,1100,+42,90.000000 
 6,1100,+43,90.000000 
 6,1100,+44,90.000000 
 6,1100,+45,90.000000 
 6,1100,+46,90.000000 
 6,1100,+47,95.000000 
 6,1100,+48,95.000000 
 6,1100,+49,95.000000 
 6,1100,+50,95.000000 
 6,1100,+51,95.000000 
 6,1100,+52,95.000000 
 6,1100,+53,95.000000 
 6,1100,+54,95.000000 
 6,1100,+55,95.000000 
 6,1100,+56,95.000000 
 6,1100,+57,95.000000 
 6,1100,+58,95.000000 
 6,1100,+59,95.000000 
 6,1100,+60,95.000000 
 6,1100,+61,95.000000 
 6,1100,+62,95.000000 
 6,1100,+63,90.000000 
 6,1100,+64,90.000000 
 6,1100,+65,85.000000 
 6,1100,+66,90.000000 
 6,1100,+67,85.000000 
 6,1100,+68,85.000000 
 6,1100,+69,85.000000 
 6,1100,+70,85.000000 
 6,1100,+71,90.000000 
 6,1100,+72,90.000000 
 6,1100,+73,90.000000 
 6,1100,+74,90.000000 
 6,1100,+75,90.000000 
 6,1100,+76,90.000000 
 6,1100,+79,95.000000 
 6,1100,+82,95.000000 
 6,1100,+85,90.000000 
 6,1100,+88,85.000000 
 6,1100,+91,85.000000 
 6,1100,+94,85.000000 
 6,1100,+97,90.000000 
 6,1100,+100,95.000000 
 6,1400,+6,95.000000 
 6,1400,+7,95.000000 
 6,1400,+8,95.000000 
 6,1400,+9,95.000000 
 6,1400,+10,90.000000 
 6,1400,+11,90.000000 
 6,1400,+12,85.000000 
 6,1400,+13,85.000000 
 6,1400,+14,80.000000 
 6,1400,+15,80.000000 
 6,1400,+16,80.000000 
 6,1400,+17,80.000000 
 6,1400,+18,80.000000 
 6,1400,+19,80.000000 
 6,1400,+20,80.000000 
 6,1400,+21,85.000000 
 6,1400,+22,90.000000 
 6,1400,+23,85.000000 
 6,1400,+24,90.000000 
 6,1400,+25,90.000000 
 6,1400,+26,85.000000 
 6,1400,+27,85.000000 
 6,1400,+28,85.000000 
 6,1400,+29,85.000000 
 6,1400,+30,85.000000 
 6,1400,+31,85.000000 
 6,1400,+32,90.000000 
 6,1400,+33,85.000000 
 6,1400,+34,90.000000 
 6,1400,+35,90.000000 
 6,1400,+36,90.000000 
 6,1400,+37,90.000000 
 6,1400,+38,90.000000 
 6,1400,+39,90.000000 
 6,1400,+40,90.000000 
 6,1400,+41,90.000000 
 6,1400,+42,90.000000 
 6,1400,+43,90.000000 
 6,1400,+44,95.000000 
 6,1400,+45,95.000000 
 6,1400,+46,95.000000 
 6,1400,+47,95.000000 
 6,1400,+48,95.000000 
 6,1400,+49,95.000000 
 6,1400,+50,95.000000 
 6,1400,+51,95.000000 
 6,1400,+52,95.000000 
 6,1400,+53,95.000000 
 6,1400,+54,95.000000 
 6,1400,+55,95.000000 
 6,1400,+56,95.000000 
 6,1400,+57,95.000000 
 6,1400,+58,95.000000 
 6,1400,+59,95.000000 
 6,1400,+60,90.000000 
 6,1400,+61,90.000000 
 6,1400,+62,85.000000 
 6,1400,+63,90.000000 
 6,1400,+64,85.000000 
 6,1400,+65,85.000000 
 6,1400,+66,85.000000 
 6,1400,+67,85.000000 
 6,1400,+68,90.000000 
 6,1400,+69,90.000000 
 6,1400,+70,90.000000 
 6,1400,+71,90.000000 
 6,1400,+72,90.000000 
 6,1400,+73,90.000000 
 6,1400,+76,95.000000 
 6,1400,+79,95.000000 
